,DLTR.US
793,0.1939189930847863
794,-0.1502381824844357
795,-0.0219909104236923
796,0.0366380889572883
797,0.1463378941976942
798,-0.1906018620335685
799,0.0366407738531521
800,-0.2321356479612474
801,-0.6501422186103216
802,-0.0609880056922161
803,0.1876934002942243
804,-0.4637651615533567
805,0.203438103956874
806,-0.1018226249872808
807,0.3450025367833622
808,0.0355023583709454
809,-0.0862944162436484
810,0.0456644172712991
811,-0.0253755582622875
812,0.0507253728314874
813,0.0506996552423558
814,-0.0355023583709598
815,0.1267347515603806
816,0.0909919028340082
817,0.0303551553172125
818,0.1918804281963217
819,0.1109653989710475
820,0.171198388721049
821,0.0603864734299539
822,0.0
823,-0.1633097441480737
