,ZS.US
346,-0.3429634240674326
347,0.0408713469211771
348,0.008087343307716
349,-0.6812506785365299
350,-1.0401823881447805
351,-1.4484373644800346
352,-0.211496117742485
353,0.6447898675877813
354,0.4127966976264183
355,0.0208075030824403
356,-0.4990494844173024
357,-0.1211212365901534
358,-0.1270501270501264
359,-0.0982715763916917
360,0.0462240711850604
361,0.1615229304874537
362,0.2825567241827554
363,0.0280637184426936
364,-0.0863359042246905
365,0.0920069005175368
366,0.395211638696373
367,0.258508647899788
368,-0.2419539571641193
369,-0.0401031223145191
370,0.2571428571428507
371,0.0399840063974371
372,-0.1286854070748344
373,-0.1862250744900232
374,0.3824419202009176
375,0.9741464931729524
376,-0.7693396417162051
377,-0.1255162361324813
378,0.0697949646473386
379,-0.1915437003405207
380,0.0
381,0.2426399223552225
382,-0.157965085665687
383,-0.0729601556483233
384,0.0384919268248207
385,-0.0871892615272328
386,-0.0060833417824251
387,0.2326522354845304
388,-0.1986540176761571
389,0.1214771622934934
390,0.1839015419436914
391,-0.1882972261591429
392,0.2987605474585204
393,-0.016151827175446
394,0.0685981760955481
395,-0.0484457004440874
396,0.0383381424161096
397,0.0060530244945784
398,-0.2487914399563134
399,0.1796963333871722
400,-0.1600522924642743
401,0.2468445810628294
402,-0.6845952241054071
403,0.1638108614232167
404,0.1822048610705512
405,0.228506154419985
406,-0.098007187193718
407,-0.320715406044433
408,-0.1289203506633564
409,-0.4562468329273904
410,-0.2224005286260357
411,0.4487254786796589
412,-0.0728828701744492
413,0.1244511235823208
414,0.4418365438563648
415,-0.2155374379158504
416,-0.3149236192714394
417,0.0422852847209187
418,-0.0658204043253478
419,0.0
420,-0.0752799473040352
421,0.3703182862232318
422,0.1264044943820139
423,-0.2628614344724006
424,0.2761784393577697
425,-0.0564577729068975
426,0.4200013228388061
427,-0.4451235716183812
428,0.4168044988422067
429,-0.0066163821622464
430,-0.1856025454063189
431,-0.0298378808474063
432,0.0828143633231747
433,0.2214509998347433
434,0.2045057228617622
435,-0.0726192440996954
436,0.345394736842109
437,0.3017184835366705
438,0.0720980533525497
439,-0.0180277627546443
440,0.0736955880908004
441,-0.2298020419552833
442,0.2423448501719368
443,-0.0491480996068263
444,-0.1105742942155191
445,0.1268140868140787
446,0.0491159135559847
447,0.0817929003762473
448,-0.0949698716269202
449,0.0458265139116158
450,-0.1276324186343315
451,0.5012866356982922
452,0.0617871516123114
453,-0.3227321798695899
454,0.1900207343990336
455,-0.2296076558231526
456,-0.1762868943285911
457,0.2745872819207692
458,0.1070413112560606
459,0.0234098053641874
460,-0.0635813004049117
461,0.0852600431315497
462,0.181890998898647
463,0.0333633603576628
464,-0.0033364473508577
465,-0.0133475707421317
466,0.1848551967625382
467,-0.1718270385693268
468,0.0500216760596182
469,0.2892864268138606
470,-0.0365898280278128
471,-0.1532464936535894
472,-0.0199926693545707
473,0.1297836938435894
474,0.2754455248398713
475,0.7251264755480603
476,0.4783082990685637
477,0.0628957188980693
478,-0.1301536652951558
479,0.2825982290510908
480,-0.7401940109658353
481,0.2020372085192432
482,0.2812172088142655
483,0.1146218777696483
484,-0.2072847960341168
485,-0.2611515942883638
486,0.0505199343240872
487,0.0462885036189131
488,-0.1137464717529518
489,-0.0126400943793718
490,-0.1117789728988778
491,0.0716558831587666
492,-0.3150105708245262
493,0.0760520534054448
494,-0.2159461404920266
495,-0.1144552776600177
496,0.1100948509485056
497,0.1986223217681608
498,0.0401309536381872
499,-0.3454707303632732
500,3.005528564248608
501,-0.8311091590932056
502,0.3266433189655073
503,1.730666709906599
504,0.5594458521175305
505,0.6830511798156846
506,-1.0769027484143732
507,-0.4879668049792621
508,0.4494233501867135
509,0.6924389603570535
510,0.0262467191600997
511,-0.4912465794072101
512,0.0428420775112033
513,0.4886367363001375
514,-0.1675316996255143
515,-0.1744052124123958
516,0.6278408161930662
517,0.2251223491027725
518,-0.4766494233656588
519,0.6364820846905562
520,-0.3382739855865949
521,-0.3279064810715983
522,-0.0360827278542116
523,0.0803015404785331
524,0.0655093350802452
525,-0.3427746707559214
526,0.6274650412334237
527,0.0238977177679484
528,-0.2936065671999575
529,-0.99549154286059
530,-0.018158157552281
531,0.2264629506612718
532,0.379015762242808
533,0.523654208683683
534,0.6805753685211663
535,-1.0389766380397685
536,0.191812024216281
537,-0.1801477211313345
538,0.1079719272989063
539,-0.2706604114038356
540,-0.2049180327868873
541,0.393216268947922
542,-0.1172015867291701
543,-0.3891754909946491
544,0.0211135911202247
545,-0.0663406577685334
546,0.1024543206898707
547,-0.078455039227534
548,0.066340992702499
549,-0.0060313630880524
550,-0.4592422502870329
551,-0.2416848889400319
552,0.1709008918441414
553,0.7398431931575274
554,-0.2744503845164183
555,0.0599999999999941
556,0.0542562608869464
557,0.0998459519598398
558,0.2560892328704692
559,-0.0711865372020843
560,-0.4576789953946116
561,0.3278782003763568
562,-0.1942524138719096
563,0.2393844400113921
564,0.4016292238479827
565,0.1148219550918659
566,0.2164165381840774
567,-0.1487420670897648
568,-0.0822298465987931
569,0.1246070629548859
570,-0.0538365635271443
571,0.0056666855556133
572,0.2909851117326411
573,0.1692190540654781
574,0.396089667958881
575,-0.6852574474160164
576,-0.6771215944297182
577,-0.0703167449739414
578,-0.6077561257958667
579,-0.1062288749396558
580,0.0788047411505507
581,-0.1639893551899756
582,0.2054497226910869
583,-0.2368751812820125
584,0.1737284045941394
585,-0.0579430226943527
586,0.0579094681980525
587,-0.0643852815246398
588,0.2856959424755991
589,0.4123909082190532
590,-0.2018066500096083
591,-0.073729764385324
592,-0.1862735652118007
593,-0.131849755595583
594,0.0
595,0.0128617363344117
596,-0.2062121407397816
597,-0.1032124887111318
598,0.3503358724648781
599,-0.3192106790481747
600,-0.7513118955149239
601,-0.5279077117572685
602,0.3590098885179956
603,0.0723793939012371
604,0.2479909593169326
605,-0.2896360659866566
606,1.0004675081814045
607,-0.2405648587853157
608,0.0156186549214417
609,-0.4329411764705868
610,-0.3925308586955111
611,-0.026368848843792
612,0.4921784381955525
613,-0.2482715273413012
614,-0.0943692985215512
615,-0.0787029749724539
616,-0.4172857458982686
617,0.0758126164829292
618,0.2929761934008273
619,0.8741180143615375
620,0.3267465380426361
621,0.0917160223227344
622,-0.2446549897151306
623,0.1618022278922091
