,FANG.US
275,0.1925070339108477
276,-1.1988610819721222
277,-1.083087177156712
278,1.1751497005987974
279,-0.7389534006937036
280,0.3156945279615059
281,0.8496050081979541
282,-0.539487486887456
283,-0.1801531301606433
284,-1.0957989315201466
285,0.2452687358061951
286,0.0907578278626566
287,-0.4711246200607938
288,-0.2342862191566365
289,0.671508548948419
290,-0.4789053591790159
291,-0.3279438682123298
292,-0.0839630562552581
293,-0.4369825206991669
294,-0.462107208872454
295,0.0461893764434197
296,-0.0153988296889515
297,0.4522112362995351
298,0.2522935779816609
299,-0.3991403131716382
300,-0.0744109136006642
301,-0.3901062416998662
302,-0.2830031629765302
303,1.3790838942702288
304,-0.4286892003297576
305,0.6552006552006528
306,-0.4524886877828031
307,-0.1237234328227872
308,-0.4798874358549957
309,-0.4072134962187276
310,-0.158148826369234
311,0.1661957786272252
312,-0.0415662149804615
313,0.339685169842582
314,0.0
315,0.1457689768539997
316,0.094057360112404
317,0.6797025070186696
318,-0.6095143706640234
319,0.0990099009901027
320,-0.2139882852162934
321,-0.0837471036080697
322,0.2311756935270815
323,-0.4311774461028277
324,-0.483252791201465
325,0.4324324324324232
326,-0.3662010036620046
327,0.1217828796842045
328,-0.9019956260251606
329,-0.502926756225457
330,0.0358418017028283
331,0.9655922752618088
332,-0.3548519175651769
333,0.6912442396313433
334,0.1826422241764257
335,-0.3053331523951805
336,0.0271333604666884
337,0.1354829968839026
338,-0.1085040010850377
339,-0.7378057111627357
340,0.2317339149400241
341,-0.1775228731394175
342,-0.1915446709536196
343,0.4155596430274441
344,-0.2116329874385597
345,-0.7982383704927034
346,0.0825082508250856
347,0.3426065506372482
348,0.0410958904109604
349,0.1231358598987596
350,1.1013710946280109
351,0.2466367713004471
352,0.7344758513242784
353,-0.2342442833240309
354,-0.3133042407966891
355,-0.100806451612907
356,0.6399198709031249
357,0.2829874597713855
358,-0.0110987791343009
359,-0.6085645692591005
360,-0.0390974084003695
361,-0.1566345938688751
362,-0.4156836310526798
363,0.56970509383377
364,-0.4375631100639521
365,0.4467776164414226
366,-0.3474557274153803
367,-0.1684068710003432
368,0.6801962533452426
369,0.155867290135812
370,0.2332555814728512
371,0.1884700665188489
372,0.1991591059968938
373,-0.6010685663401514
374,-0.0222667557337009
375,2.195453357721461
376,-0.3869106170896474
377,0.7355813045176379
378,0.4148839621418296
379,0.8739236601979268
380,0.0256970319927997
381,-0.5620518121325696
382,-0.0969994826694294
383,0.1356151113981323
384,-0.0064582795143315
385,0.6034150725381935
386,0.6505102040816392
387,0.6777728510799982
388,-0.5605452576597206
389,-0.6604257501923577
390,0.2877053896809594
391,-0.2576790933798182
392,0.3525804803270264
393,-0.4491210060310462
394,-0.2057348592002196
395,0.5053412652721937
396,0.0830883292854374
397,0.4513601248080021
398,-0.8530544147843895
399,-2.783273974409708
400,-0.680480549491237
401,-0.2521438627927848
402,1.5002521432173448
403,-0.608828006088267
404,0.6489824207674381
405,0.2074949698189034
406,-0.6773437994555885
407,-0.3366361788617893
408,0.3859538120847919
409,-0.5919042769857478
410,-0.095559661081739
411,-0.7768361581920955
412,0.1858378724767833
413,0.3257537046499686
414,0.1275835672365327
415,0.1528662420382223
416,-0.1786625829504856
417,0.1147227533460846
418,-0.1266100665213324
419,-0.0648786717752356
420,0.3563247645711391
421,0.1017035341978112
422,-0.0763358778625983
423,-0.1784348712719864
424,0.1145767027371144
425,-1.2967302357872763
426,-0.9689803276949908
427,-0.345855060125575
428,0.7603759636709251
429,-0.386959978796708
430,-0.9147319995720596
431,1.089947089947091
432,-0.2386634844868674
433,0.0688997244010999
434,0.2537534362444437
435,0.4106559966305155
436,-0.2216124947235054
437,-0.0844951415293602
438,0.723497955331863
439,0.3448275862068947
440,-0.5040957781978618
441,-0.294923109332211
442,-0.115997047347885
443,0.8930391024669634
444,-0.0883891213389179
445,0.2400083481164603
446,0.083411531644248
447,-0.9738379744170104
448,0.089407804775422
449,-0.0947567909033367
450,-0.5426552246340318
451,-0.1263583522870789
452,0.2143487580380806
453,-0.2781641168289276
454,0.2396569122098861
455,0.6329510559628947
456,-0.2450056539766216
457,0.4129129129129108
458,-0.2634550244636908
459,-0.1948337628055897
460,0.2257477895528847
461,0.0814536340852101
462,0.1001502253380048
463,-0.0501002004007916
464,-0.1128526645768067
465,-0.6944444444444409
466,0.0820034062953355
467,-0.2085967130214997
468,0.5781799899447059
469,-0.0880613913699929
470,0.0056607689840269
471,-0.1190176322418091
472,0.0755096904102543
473,0.037740596301423
474,0.1130937421462722
475,-0.8363753985490515
476,-1.4580403187998054
477,-0.7082152974504249
478,0.3762935089369628
479,1.079471431230222
480,-0.0363057502722812
481,-0.2519808494554509
482,-0.4848359810191833
483,0.0712210664417518
484,0.3557721937417712
485,-0.0805571338855742
486,-0.2199119602884771
487,-0.2252886510841968
488,0.0469131169074846
489,-0.1362333818762587
490,0.0844872095752202
491,0.1546536695097872
492,0.1403968551104508
493,0.0561272217025278
494,-0.1405152224824409
495,-0.0374847718114574
496,0.1216772744290618
497,0.0794949731119885
498,0.4283652279182455
499,-0.1352107422603601
500,0.3553399331279103
501,0.8515340613624559
502,0.9401159047005846
503,0.0643500643500606
504,-0.1030662200463776
505,0.4297351035853938
