,MU.US
991,0.0356982487651594
992,0.2240143369175659
993,0.0056000448003533
994,0.4959322411679565
995,-0.357901800693443
996,-0.1904975347377876
997,0.1566345938688751
998,0.2009825815096101
999,-0.2911534154535332
1000,-0.6884057971014582
1001,-0.0725163161711412
1002,0.3132530120481989
1003,0.34698459580497
1004,-0.0588659298414303
1005,0.0
1006,-0.0120148984740969
1007,-0.513254030553707
1008,0.1025455422849484
1009,-0.138930836605249
1010,0.0965542212298573
1011,-0.3208620898413858
1012,-0.0666383958320795
1013,-0.2369446647372616
1014,-0.0667193291608476
1015,0.1395631067961275
1016,0.0182005702845362
1017,0.0424499696785889
1018,-0.1700886891021754
1019,-0.4638105699987739
1020,0.115818348064613
1021,0.2723437367019533
1022,0.2821231861128084
1023,0.0645786635972533
1024,0.4402895054282377
1025,0.660009672555548
1026,0.2875861137376803
1027,0.3499798088571881
1028,0.1008538963221793
1029,-0.1279116736232649
1030,0.0372824461591813
1031,-0.1181781431074145
1032,-0.0674217907227577
1033,0.1884253028263803
1034,-0.1187141145826979
1035,-0.0362606996023423
1036,-0.0067403612833586
1037,-0.1349892008639424
1038,0.0741889795643175
1039,-0.0269850907373814
1040,-0.2217684683100992
1041,-0.1908952839787343
1042,-0.1222192078133569
1043,0.061004541449199
1044,0.1982100214445697
1045,0.2178934536112403
1046,-0.2136237570181937
1047,0.1418535530937446
1048,0.1551224118162933
1049,-0.1283090221501875
1050,-0.4441624365482342
1051,-0.4717582557694635
1052,-0.3839754255727779
1053,0.0255918106206145
1054,0.0447656200038326
1055,0.6543837357052104
1056,-0.4595353586928764
1057,-0.3072983354673612
1058,-0.5277384476766592
1059,-0.5565622573129596
1060,0.4637979902087083
1061,0.0386349001931759
1062,0.0386199794026791
1063,0.3335899409802295
1064,-0.5223447475333735
1065,-0.0387071801819252
1066,-0.1809603826019525
1067,-0.3046804096979119
1068,-0.0778513040093451
1069,0.0648340248962803
1070,-0.1428385923905978
1071,-0.377997914494273
1072,-0.1174474748792945
1073,-0.1175855761693091
1074,0.3385416666666548
1075,0.6093477969733472
1076,-0.2955003357958346
