,ZM.US
469,-0.0386820058524038
470,0.0578892652470083
471,0.4766953164964301
472,0.0159059198724292
473,-0.2037229368059402
474,0.3621890547263668
475,0.8946867780948426
476,0.5503448506998391
477,-0.4319276863149648
478,-0.1890127821593672
479,0.027188689505172
480,0.2278645833333265
481,0.0054250528942762
482,0.1246207195491925
483,0.3105841683096058
484,0.529228454760377
485,0.1421788234031635
486,-0.2986600656513902
487,0.0457198181964766
488,0.1208767594283841
489,0.2064066479024363
490,0.2673439379762063
491,-0.2578748868564273
492,0.0300375133976415
493,0.1807819118589919
494,-0.0029154908857454
495,-0.2157829839704087
496,0.0287002793118693
497,0.193345636417123
498,0.186870978936968
499,-0.3859037920407337
500,-1.4995722840034218
501,0.8350080415152675
502,0.6636208031599773
503,-0.1648532805802835
504,0.1382852627419932
505,0.9264091858037607
506,-0.6124441209722895
507,-1.1143441208484772
508,-0.3369694063744604
509,-0.0199824154743795
510,0.4324066213921889
511,0.1430463576158994
512,0.4598622522703136
513,0.4935388652016981
514,0.2486422822744196
515,0.1049998875748295
516,-0.3822896435882728
517,0.1442983290641447
518,0.5845795740283751
519,-0.1080594679186295
520,-0.4690652760671794
521,0.1478380323150383
522,-0.1900642286013954
523,0.6135928401141252
524,-0.1895170447871063
525,1.1492049171083851
526,0.2138194913346812
527,1.1788256227758032
528,-0.4524381388594103
529,1.0460279954124072
530,-0.5725641702683553
531,0.2619687855182527
532,-0.5435085567757527
533,-0.2262759449115695
534,0.2591251044859153
535,0.2182465212616664
536,0.2620414275018699
537,0.1992528019925355
538,-0.0581491942183187
539,0.4136333553937789
540,-0.0096523765529896
541,0.0013788919224498
542,0.1239464551313801
543,-0.0496031746031764
544,0.4715587769916268
545,-0.1233832212000688
546,-0.120975502460751
547,0.4107225979573396
548,0.2267511747350128
549,0.1064323335971362
550,-0.2468925591690801
551,-1.1133428981348623
552,-0.3354110584882089
553,-0.6768115942028926
554,0.2371175756173712
555,-0.1679990731085575
556,0.265744241317375
557,-0.369339326809632
558,0.3112760613129217
559,0.1131786750588257
560,-0.2648795738768007
561,-0.2990621642809363
562,-0.2444916610879971
563,-0.0291146242757637
564,-0.3838593205567279
565,0.5170744472065874
566,-0.0756528697170265
567,-0.0509461426492027
568,-0.2626970227670687
569,-0.0320885187630354
570,-0.5165673700583939
571,-0.0114766787137604
572,0.2139000155819262
573,-0.1059051193338405
574,-0.123297322686712
