,CPRT.US
298,0.421313506815358
299,-0.3315375051802664
300,-0.3660657087947339
301,-0.1833684789584696
302,-0.285031261493185
303,0.5395518975765792
304,-0.3211009174311874
305,-0.1010193773532918
306,0.2107771260997104
307,0.1372746407980154
308,0.1096992412469188
309,-0.0823421774931412
310,0.1735318293908098
311,0.0091324200913288
312,0.0365163410626312
313,-0.0548045305078573
314,0.0547745115939403
315,0.2458792459703087
316,-0.0729062243689039
317,-0.1049126488163199
318,-0.0502008032128446
319,0.1003009027081238
320,0.1274929423549773
321,-0.2841124431386946
322,0.1651167031363974
323,0.2092621235556271
324,0.0727338848986256
325,-1.5716435378699176
326,0.5817819148936076
327,-0.316825079206266
328,-0.8619602236891826
329,0.7801418439716213
330,0.0508710627048453
331,0.0908181969671677
332,0.1426889588698109
333,-0.4273897058823513
334,0.1418439716311952
335,-0.3937007874015738
336,-0.0251361541684131
337,-0.0083794201441184
338,-0.0838644750083936
339,-0.2480137878851584
340,-0.4178978471929002
341,0.2022074311230894
342,0.4696016771488488
343,0.2300773896674383
344,0.0418147606104931
345,0.0459750898603967
346,0.0584795321637488
347,0.1168224299065425
348,0.3740959348241772
349,-0.1248543366072962
350,-0.1941747572815534
351,-0.1088562320192725
352,-0.0622422780673869
353,0.1165682312713752
354,0.046605561597019
355,-0.2179666822357162
356,0.0233481204763025
357,0.0583362501458317
358,-0.0856331010859719
359,0.1748523469070518
360,0.1009238413166644
361,0.0232846941943504
362,-0.0310559006211118
363,0.1163241566498466
364,0.2128071193654522
365,-0.3299689440993656
366,-0.2256633725002104
367,0.124349110126678
368,0.1629422718808255
369,0.0
370,-0.0776518092871519
371,-0.0621600621600718
372,-0.0155424308361686
373,0.2578042764815104
374,0.0212337259764414
375,-0.3566273244459554
376,-0.0594732370433247
377,-0.3837953091684459
378,0.399252463472646
379,0.0679117147707965
380,0.4142361991715353
381,0.2024803847127266
382,-0.0422012153950009
383,0.0632617772341974
384,0.0969073902418428
385,0.1346461331313612
386,0.1764112903225873
387,-0.0832345448583783
388,0.2340211373930518
389,0.2593491173763927
390,0.2337033636591279
391,-0.1379079777675676
392,0.3539601898892289
393,-0.0041644109440681
394,-0.0458295142071432
395,-0.0166680556713144
396,-0.0834097923096124
397,-0.4398274200980235
398,-0.2477534223565984
399,0.2763819095477491
400,-0.2290244439550679
401,-0.588869080740461
402,-0.4453542185831248
403,0.4165558805282273
404,-0.2265156562291765
405,-0.2136466817999814
406,0.3248415499050169
407,0.0614522959925639
408,0.2649686035199417
409,-0.0708027259049458
410,0.0
411,-0.1329315845444802
412,0.3796239074777016
413,-0.0529988516915487
414,0.2115469369766497
415,0.1935427113574372
416,-0.2911593435680238
417,-0.0706339396079801
418,-0.3633141338059467
419,-0.2220248667850799
420,-0.1779359430604881
421,-0.0088975887534523
422,-0.1514881482801655
423,-0.1025824004281654
424,-0.004460303300633
425,-0.0401670951156789
426,0.0321233536781176
427,-0.1447643557986107
428,0.0241215727265426
429,-0.0724171226263303
430,-0.1611863313990996
431,-0.2261712439418426
432,0.0726450883848602
433,0.0564698289770838
434,0.1449975833736159
435,-0.032232070910561
436,0.0241682107467986
437,0.0
438,0.0442887627330247
439,0.0362231345085741
440,0.0723938223938137
441,-0.0643915003219561
442,0.0804246421103494
443,0.0160823415889321
444,0.0602724313898845
445,0.0602361256124028
446,0.1843835177168428
447,-0.0560679745985523
448,-0.1366265060241004
449,-0.104526815148344
450,0.2076124567474004
451,-0.3210969365616509
452,-0.725524475524474
453,0.204998473415623
454,-0.4776930493470082
455,0.027777363989496
456,0.0773137203397159
457,0.3837767117313667
458,0.1741401828471821
459,0.5024690288486636
460,0.2333621434744995
461,-0.3991669559180908
462,0.052038161318302
463,-0.1998783349265699
464,0.3075590210093168
465,0.0476272947696629
466,0.1210863172461516
467,-0.0952298502294168
468,-0.1022601220188654
469,0.2834427929484989
470,0.0863408737696376
471,0.1895897966218657
472,-0.2592016588906267
473,-0.1731002250302827
474,0.2503669170335768
475,0.113296940982588
476,0.178210356763439
477,-0.5063378341140904
478,0.1032275824100238
479,0.5305130574665473
480,-0.0171162535944171
481,-0.3503950532463008
482,-0.1789524399477041
483,0.0
484,0.2266172229089496
485,0.0
486,-0.0515304544986204
487,-0.2721322769548617
488,0.2165469356889957
489,-0.0034373710985806
490,-0.091862117370196
491,0.0917778083321861
492,0.1201634222542541
493,0.1474117243743595
494,0.0342700479780749
495,-0.1750832503690448
496,-0.1443944029979083
497,-0.1239200027537825
498,-0.1447826536592147
499,-0.0586368653421492
500,0.3566381804723781
501,0.4754888829359627
502,0.1671458180116333
503,-0.2144053601339987
504,-0.4509355229505905
505,-0.1212938005390881
506,0.1211468569121058
507,0.0403659849300147
508,0.1410816257977883
509,0.0604270175909785
510,-0.0940860215053671
511,-0.0336134453781589
512,0.2548112385167273
513,0.0201126307321005
514,-0.1477104874446078
515,-0.2018299246501691
516,0.1008132266953462
517,0.1040652589882178
518,-0.057100631465793
519,-0.0335998924803517
520,0.0
521,0.3215218701855381
522,-0.0536157094028443
523,0.0401956186775656
524,0.18055369800721
525,0.5222141881577936
526,0.0882966768341623
527,0.1202597610839458
528,0.0560897435897381
529,-0.0481000481000499
530,-0.0802310654685448
531,-0.104409284394824
532,0.0281022923441299
533,0.0040144520272946
534,0.1483144265843606
535,-0.2370620379299274
536,0.2165022853018972
537,-0.1043506180767342
538,0.0165328256846289
539,0.0676905802622627
540,0.5860309360548552
541,-0.1717183818537625
542,0.0079862636265663
543,-0.2281277515408601
544,0.1279079063074559
545,0.071896469084521
546,-0.0399584432190612
547,-0.0159859323795028
548,-0.047980807676931
549,-0.3450489488043593
550,-0.2897957792097176
551,-0.0579927679607068
552,0.778499864608723
553,-0.8809670149559462
554,-0.0239079203524687
555,-0.3736715803908234
556,0.5319511696105852
557,-0.1502629601803148
558,-0.0854496359845507
559,-0.1334793620370957
560,-0.3572164594353302
561,-0.2272101349490388
562,0.0056455088599982
563,0.1524712999243842
564,0.0068737970855037
565,-0.230803679079527
566,-0.0241196333815702
567,0.4322766570605155
568,-0.0411861614497544
569,0.3420440552743193
570,0.2013995562382574
571,0.3096712720343105
572,0.1766424349480201
573,0.21693444512236
574,-0.2787219578517992
575,-0.1834114530262766
576,0.0135841880051496
577,-0.00679255535932
578,-0.0067930167787452
579,0.1356760056983845
580,-0.2921473990444908
581,-0.5201750786486191
582,-0.2131465502470766
583,-0.0404525197120312
584,0.3212137780207756
585,0.0955892393827767
586,-0.1093643198906333
587,-0.2535462207907932
588,0.3142291140105059
589,0.2317181217201686
590,0.0544922008037684
591,0.1428377091552224
592,0.2036383383111478
593,-0.040744261849791
594,0.0814221739720481
595,-0.1494971459635763
596,-0.0816104461371086
597,-0.1021172305807105
598,0.0408302143586269
599,-0.1431102630502791
600,-0.835615144934383
601,0.4324527592366343
602,-0.1695074865806637
603,0.3752697251149317
604,0.3459237097980463
605,0.3911342894393758
606,0.0372370135915157
607,0.5094007594702206
608,-0.1576994434137307
609,-0.2697423495488718
610,-0.9957726632221722
611,-0.3677163869507831
612,-0.049524797773751
613,-0.3573795323298284
614,0.1701162461015091
615,-0.4938740621141571
616,-0.6308904051327583
617,0.2099189318073323
618,-0.0381642972998683
619,-0.0572792362768518
620,-0.1146898595049264
621,-0.4801690194948622
622,0.1151079136690691
623,0.124544931979302
624,-0.2593410815483585
625,-0.1301851586048489
626,-0.5629330254041579
627,-0.3912476452687958
628,0.3681513029668598
629,0.1441649246738186
630,0.2301330456670417
631,-0.2378892733564104
632,-0.1371544069876544
633,0.0793421811886794
634,0.0504649989186227
635,0.0864366491392383
636,0.1653962318423628
637,-0.0935723025984276
638,0.1509271237602268
639,0.3295128939828137
640,0.1073345259391811
641,-0.0859414166010202
642,0.1073114894834781
643,-0.0030048119917734
644,-0.1187594011890195
645,0.0787288863441062
646,0.166127793358452
647,-0.2381463973642614
648,0.0858737655646232
649,0.0929434474869489
650,-0.3245172805451821
651,0.0527062639367506
652,-0.0608519269776899
653,-0.1137194379010645
654,-0.0894308943089426
655,0.0597204109739267
656,0.037768031189091
657,-0.3136839532325784
658,-0.1019492700432264
659,0.1140529531568232
660,0.1464247945985575
661,-0.0325494344535814
662,-0.0814398566658476
663,-0.310432154235773
664,-0.0326877502655814
665,-0.1965119135347655
666,0.1390024529844658
667,0.065370158522633
668,0.1305696099232991
669,-0.0816726559947799
670,0.2281616688396358
671,0.0968747710417699
672,-0.0888128411961172
673,0.1545720794012347
674,0.0487884208814459
675,-0.2671094426797402
676,-0.1228767618359348
677,-0.2972306800057971
678,0.7661594906658018
679,-0.2560403894698808
680,0.808413220775501
681,0.3635326823009416
682,0.8551236749116665
683,0.5097556688345891
684,0.2979320014020409
685,0.1260239445494691
686,0.0629722921914182
687,0.0524493863421917
688,0.2058761951287511
689,-0.0768263723983693
690,-0.5830698981384
691,-0.2464788732394326
692,-0.0140864910550853
693,0.0844475721323044
694,0.0562667041778115
695,0.0632599985942246
696,-0.0210911136107994
697,0.2174675552437757
698,-0.0315778393740682
699,-0.2850105559465173
700,0.0664176006641745
701,-0.0498380264141558
702,-0.1914114513981391
703,0.2428343122807778
704,0.1047447810062801
705,0.0341568562427486
706,-0.0683604120208191
707,0.1179980112694805
708,0.2479748718796471
709,0.0
710,0.1403219149814293
711,-0.1405190940651361
712,0.024791339558715
713,0.0495581068803073
714,-0.0578512396694158
715,0.3869268132049056
716,-0.2227722772277195
717,-0.0165043736590163
718,-0.0082528678715895
719,-0.1239464551313879
720,-0.0165289256198314
721,-0.2900953170327346
722,0.2315389068055909
723,-0.1407750910897662
724,-0.008281573498969
725,-0.0735955515577636
726,0.2691241233077787
727,-0.0244718166245216
728,-0.3027327769595848
729,-0.2172932639088192
730,0.0819302773339957
731,-0.2752218205718107
732,-0.2883743923539543
733,-0.0329679386796392
734,0.1152547954227386
735,-0.0082331631812984
736,-0.4050591055633585
737,0.1708244963978377
738,-0.0718473862416411
739,-0.1737260092653937
740,0.0909166046780721
741,0.0330496571098126
742,0.0908040283968956
743,-0.1322532650024769
744,-0.1158556769281699
745,0.0826856292376338
746,0.2556701030927854
747,-0.2356053403877126
748,0.2021285372493939
749,0.0741962077493845
750,0.0074333488077766
751,0.4394330796620848
752,-0.1748496293187858
753,-0.4919876300252942
754,0.4965382194559115
755,0.125724662988041
756,0.2230120565893244
757,-0.1186156851800278
758,0.2158323470027169
759,0.4367114931373877
760,0.1177040781001287
761,-0.1178427838624815
762,0.0069314479794963
763,-0.0133101514861699
764,0.1874458991279591
765,-0.015017301038069
766,-0.1316610075531825
767,0.1971022511151814
768,-0.0311310965063905
769,0.0138341287957265
770,0.0622148486105374
771,-0.0864842425710035
772,0.024209725392541
773,0.0483960176991103
774,0.0897976100020887
775,0.7807071326384617
776,-0.2828332513526798
777,-0.0410071352415296
778,0.2046161401211327
779,0.5048859934853341
780,0.1220008133387602
781,0.0812677773262855
782,0.178470025148048
783,0.1110957149142989
784,0.1479893195242362
785,-0.1134062373430543
786,0.1132777732826285
787,0.1454310414478408
788,-0.1132411227048455
789,0.0080879974118449
790,0.113103894005494
791,0.0807232805941187
792,-0.084831347202577
793,0.197548782454435
794,0.2252614641995182
795,0.1084903765017921
796,0.0722746436458569
797,-0.0522256146553205
798,-0.2174088090828537
799,-0.0563970351272906
800,-0.1470227885322164
801,-0.2374324545603457
802,-0.0409533950364462
803,-0.0327734535026679
804,0.155431937172773
805,-0.0900679603700969
806,-0.0368595650571337
807,-0.0778752356750544
808,0.0491601802539961
809,0.0982237865269743
810,-0.0327519855891314
811,-0.1147635052053451
812,0.0
813,0.2045157068062827
814,-0.1310615989515044
815,0.0155611430069087
816,-0.0155635648754959
817,-0.0327761389708227
818,0.0245760629147103
819,-0.1312443605938779
820,0.0778656612433907
821,-0.1272055806319254
822,-0.0821355236139583
823,-0.0082142270412396
824,0.0164257555847653
825,0.1191516403209196
826,-0.0874542852599772
827,0.0556217719507295
828,-0.0193124298136204
829,-0.1478032473734456
830,0.1351243939273521
831,0.0873570520965688
832,-0.039723524271071
833,-0.0238397965670701
834,-0.1591849729385568
835,-0.0079598821937476
836,-0.0716902979130071
837,0.1312596953183978
