,CHTR.US
250,0.8012637236962515
251,-0.6366036297196721
252,-0.3486458393486281
253,0.0598763517266864
254,-0.3060870068598236
255,-0.2364546311742939
256,0.0970986348221731
257,0.1150814617517096
258,-0.0325808366758891
259,-0.2773421618168208
260,-0.0203328782641511
261,0.0188769657455668
262,0.078350575296365
263,-0.2312323667141781
264,0.1379670912180381
265,-0.0479483900964839
266,0.1566761446062845
267,0.0275558004959958
268,0.0217498477510624
269,0.3928478581126011
270,-0.2896955299979721
271,0.0159307158684432
272,-0.1777255482289138
273,-0.0370096225018498
274,-0.031940068816334
275,0.6034765496884142
276,-0.7983866968609893
277,-0.6923985952297868
278,0.5561348627042081
279,0.2394240612925672
280,-0.1339263570377571
281,0.0214897345191439
282,-0.1556291390728567
283,-0.2772566533295633
284,-0.0913955266044182
285,0.3939353813559315
286,0.2344859473562655
287,-0.1165530068195975
288,-0.2411255841702365
289,0.2644540676341316
290,0.2242818034895632
291,0.3025221137088605
292,-0.5555004463842895
293,-0.0132279506597508
294,0.0347113175424447
295,-0.0545761254258659
296,-0.0115780942456766
297,-0.0678605713529216
298,0.0942538238941794
299,0.1453032379505631
300,-0.0775085646963989
301,0.2628364693331579
302,-0.4597486914247429
303,0.0807014821137552
304,-0.0733835240398939
305,0.527198010165445
306,-0.081946935493842
307,0.2175355230880738
308,0.1678834365277441
309,0.1921569230296229
310,-0.0769218935093306
311,-0.0738995889335393
312,0.046165920317632
313,-0.0492679096549783
314,0.1306968448244084
315,0.0722154786964379
316,0.1043729182974858
317,-0.1814463426260436
318,-0.0323017289115911
319,0.0584166026133736
320,0.0998233893880023
321,-0.0799225366183517
322,-0.0153720812260806
323,-0.1354575540675741
324,-0.4592688810540031
325,0.5182760501909531
326,0.4115561713051591
327,0.509459459459457
328,0.1511226252158901
329,0.0633773378821218
330,-0.0701688099639685
331,-0.2828222685323056
332,-0.3122115436824765
333,0.1477425213820068
334,-0.1846797300416906
335,-0.0298835898341343
336,-0.0448454869132771
337,0.0529711375212205
338,-0.1244330815206625
339,-0.3206068337005563
340,0.0402301985598896
341,0.0517951094512438
342,0.047002404615776
343,-0.0552071973827661
344,0.03679125730715
345,0.041543228794218
346,0.1258332199700813
347,0.0814191673496814
348,-0.063789562449837
349,-0.2153615484222778
350,0.6513680604609631
351,0.2587507637823665
352,0.0099749379683596
353,-0.0249435651837773
354,0.0697932375338134
355,-0.6056122576924093
356,0.0964537585649662
357,-0.0789790392137192
358,-0.1066726905362384
359,0.0764947833065827
360,0.0676708689440792
361,-0.1418083704586804
362,-0.0477105226813308
363,-0.198769641082419
364,0.0138364779874231
365,-0.0125801987671433
366,-0.0478276191914609
367,-0.3359179652968919
368,-0.1403730635472669
369,0.185554517684485
370,0.0037866834963676
371,0.2015494110978173
372,0.1691409025459198
373,-0.1353699692741708
374,-0.1323968880426638
