,LULU.US
520,0.2241066020593607
521,-0.0848690591658501
522,0.1362109150346546
523,-0.30360992197225
524,0.2845811510399315
525,-1.0891653891404351
526,-0.5304469373857633
527,-1.458181818181815
528,-0.5815442010167788
529,0.4696032034947083
530,-2.0051986632008827
531,0.3994378282417279
532,1.0249652243941765
533,0.8744874632606293
534,0.6954453733064309
535,2.4294202439967743
536,0.1148347538427494
537,0.2113120269133756
538,-0.1215029312626172
539,0.5500191911790375
540,-0.1502655856863118
541,-0.1189559862850856
542,-0.2630932753358824
543,0.1191268701166854
544,0.5644009337002919
545,0.7649290819986807
546,-0.0692285976036804
547,0.4914793266086139
548,0.5416162475286873
549,0.401800634314362
550,0.8468618177169993
551,0.526106651831828
552,-0.1639814048270987
553,-0.0063686154629925
554,0.1399135080132274
555,0.2584880825893204
556,-0.0047576757168368
557,0.1045594246063308
558,-0.0253541660064148
559,0.1582128278960858
560,-0.0474863872356519
561,0.1106789362173173
562,-0.0696180500617155
563,-0.0918535411123665
564,-0.1776875237974369
565,0.0516613287522026
566,-0.0040912118232856
567,-0.1429206631518734
568,0.0587217699058871
569,0.1948298802509057
570,0.2622515719295978
571,-0.3225002741918027
572,-0.0293614052888593
573,-0.0698058129204119
574,-0.2098569157392766
575,-0.3078133678948437
576,-0.4533513123939248
577,-0.2984726594380255
578,0.2790373212417134
579,0.0302199079455101
580,0.3174603174603185
581,0.0902903180997329
582,0.3046669436366138
583,0.0530577406629952
584,0.358831410838867
585,0.006642456559705
586,0.1652134006425028
587,0.1237567034880972
588,0.1784407027818515
589,0.0982744829162396
590,0.0251336654023702
591,0.0559482079446335
592,-0.0674116222206894
593,-0.0320021944361867
594,0.0776592585824844
595,0.0821598922792554
596,-0.5207616425785819
597,0.0068818388273414
598,-0.2299220564228726
599,-0.283606179386677
600,1.0785502823532456
601,-0.3573111355426441
602,0.3989049667579271
603,0.6913158303557598
604,0.1860753605210033
605,0.3271425259524437
606,-0.3541515872195234
607,-1.0501018755550864
608,-0.1766345235447307
609,0.1084797156001726
610,0.0809674301982402
611,-0.3459572795177547
612,0.0157228584156605
613,-0.0314556082728261
614,0.4241546272007099
615,-0.2354695655586605
616,0.2127770670704638
617,0.3149073495731929
618,0.1818465215358208
619,0.0986193293885589
620,0.1813377545204882
621,-0.0699935191185954
622,-0.4413430368046225
623,-0.143414036322867
624,0.2976732094111483
625,-0.2493205781459085
626,0.356111138973868
627,-0.2829085513824798
628,-0.4826340193811591
629,0.1148409893992892
630,-0.0126214817619617
631,-0.3546548448384996
632,-0.1395230847285671
633,0.0025367190076332
634,0.1974733537557987
635,0.1226373348504996
636,0.5019246735602698
637,-0.0478252114377906
638,-0.0743101124727531
639,-0.2360813028658003
640,0.0353365809333871
641,0.2040302267002524
642,0.0830543880401641
643,0.2485438843141216
644,0.045169385194481
645,-0.0251004016064314
646,0.0752445447705069
647,-0.1230506516662085
648,-0.1232022528411827
649,-0.0954596395486293
650,0.2077541168922449
651,-0.0833849839146746
652,0.6146903300309932
653,0.1335356600910463
654,-0.1915650561011936
655,0.098725679308613
656,0.2482317427553188
657,-0.0376489132741308
658,0.0287891873873137
659,-0.0803712240689028
660,0.2148715310353114
661,0.1209080192243681
662,0.1026663043150139
663,-0.0906700516819329
664,-0.1483140625945908
665,-0.2092875125117527
666,0.1795127752602348
667,-0.4082507448166796
668,0.0273531288940142
669,-0.1217174329793315
670,-0.1188155008530302
671,0.0973946919892845
672,-0.2560104479114852
673,-0.1959765195059372
674,0.2607223992559557
675,0.3875193044672019
676,0.6534833503807123
677,0.2027362302403152
678,0.5148095909731986
679,-1.1585435452573911
680,-0.1400200028575536
681,0.2928958510220071
682,-0.1506634327293536
683,-0.2947741972411347
684,-0.7700072098053399
685,0.4307250538406317
686,-0.4094224836375215
687,0.8433872719995393
688,0.0400091449474288
689,0.299170869305072
690,0.106363085491496
691,0.3195449258092929
692,-0.0198637911464387
693,0.1430980008784221
694,-0.086500283607473
695,0.3997005776591285
696,-0.0565267159391175
697,0.0720196571299447
698,0.5253694442883645
699,0.1542820275463579
700,-1.1063214810754236
701,0.3612349019948709
702,0.3278810224938726
703,-0.0817276734855716
704,-0.4877805982778307
705,0.1912615812613283
706,-0.0149057213126977
707,0.3983768001187741
708,-0.2008281060174057
709,0.2028949647408123
710,0.0173173024590693
711,0.1383467562626477
712,0.2575001540072731
713,-0.0061606702809209
714,-0.2053740996517535
715,0.0990946542664739
716,-0.0123359321030325
717,0.1084384858044158
718,-0.1307899217728136
719,0.0271377115507862
720,0.032061558191741
721,0.2153342602960538
722,0.1388513430488308
723,0.0491267716341992
724,0.0785410990845036
725,0.3329477159222389
726,0.2645279302096517
727,0.1937984496124024
728,0.0785810507408994
729,0.3997204751921752
730,0.5421184320266859
731,-0.1322569788452854
732,0.0125532329445795
733,0.0222624182551943
734,0.1666898180302725
735,0.0083615733203042
736,-0.0444944694569506
737,-0.0472681773946937
738,-0.0974116337322476
739,-0.3967810439253426
740,0.0893355667224995
741,0.0055831611858742
742,0.1588673039939778
743,0.1085528449670916
744,0.0195128740431523
745,0.1223275598431976
746,-0.0125123385560805
747,-0.0431166374586143
748,-0.2048751933770995
749,0.0348305840392331
750,-0.4916136495083776
751,0.2180185957037352
752,0.1824175120811758
753,-0.1343371015232283
754,0.0189676716542349
755,-0.2537581909289542
756,0.3393303028362898
757,-0.1763781547638172
758,-0.257209915442244
759,0.0449914837548745
760,0.6259381087727077
761,0.1339499282411149
762,-0.2429745196457658
763,-0.4302456253010217
764,0.1369769896613242
765,-0.3339992729355124
766,0.1096149785927773
767,0.2020140470158175
768,-0.1767011501638538
769,0.1667522505459803
770,0.2240463389657003
771,0.2903730176457347
772,0.0605905988902346
773,0.1591951095262353
774,0.1462453106123343
775,-0.514568930138585
776,-0.6633670445607802
777,0.1312298474115822
778,-0.1194712760548984
779,-0.087455675873375
780,0.4038388445458108
781,0.3031451307313311
782,0.0315676494728094
783,0.0883113606257584
784,0.5754245127706549
785,-0.1287344772909142
786,-0.0594101274945722
787,-0.0741683959001493
788,-0.0408895039788618
789,-0.0377584091123641
790,-0.2571018470322869
791,-0.1595627034029496
792,-0.4092639593908694
793,0.2184304663015599
794,0.1169923480680467
795,-0.0711946461625977
796,0.4300567107750322
797,0.188679245283026
798,-0.3597803446316942
799,0.3271469015413538
800,-0.3416365340832906
801,-0.1384262536212491
802,0.0887275065989554
803,-0.3671328671328695
804,0.0779381332473228
805,0.0026874496103326
806,-0.4142323209153657
807,0.1737560949327825
808,0.2150479825811164
809,-0.3615075403998097
810,-0.2162922107767624
811,0.2239007283517626
812,0.0350564948898404
813,-0.3680948385525094
814,0.0865356012872152
815,-0.1584485583889807
816,0.0203097920277265
817,-0.1111502697427191
818,0.0569253124186352
819,0.0189353921170151
820,-0.4161906316304806
821,0.0394273517055679
822,0.2062275286615537
823,-0.1535492988368295
824,0.2602190176732181
825,-0.9373568904593635
826,-0.1415428167020523
827,0.0678944241704175
828,0.4674081374067206
829,0.1335676625659115
830,0.4311732672574357
831,-0.2174584023120834
832,-0.6922077188223961
833,-0.0805870127666864
834,-0.1778616995692268
835,0.2381948173057863
836,0.0084769708957255
837,-0.1202348115142385
838,-0.015562220587405
839,0.0367699052467813
840,0.1101881674860107
841,0.8023479636370546
842,-0.4088363585197601
843,-0.0506799560773733
844,0.1405797508926814
845,-0.0562635384139276
846,-0.098558233836456
847,0.123748453144335
848,0.0351434555857008
849,0.3180875511462336
850,0.7200358837555076
851,-0.2508697607270495
852,0.1158337667249797
853,0.470566091007482
854,0.1573915290469628
855,0.0915086583525792
856,0.0399061583577691
857,0.1639536245461971
858,0.1076249970754162
859,0.046771590935663
860,0.3542282398741112
861,0.0116268232443216
862,-0.4764190146203338
863,-0.052703082544731
864,0.0561850360520669
865,-0.1078040778064299
866,0.2687857894121851
867,-0.1967167045268335
868,-0.1054951237809425
869,-0.0398696029456638
870,0.3179427235534807
871,0.0186990159642811
872,-0.2193286056926958
873,0.0131865558027789
874,-0.1642228739002905
875,-0.1995565410199542
876,0.692041522491346
877,-0.1149479584927495
878,0.3780510761121867
879,-0.5774510113281323
880,0.8850941389879228
881,-0.0500657112460182
882,0.1998625944663178
883,-0.2630095810633201
884,-0.2762951334379891
885,-0.034548823769595
886,-0.1651644566089306
887,-0.1843797276853367
888,0.2075863370447332
