,VRTX.US
511,-0.1008185506133166
512,-0.108136684769546
513,0.2086280904534674
514,0.0467396124207507
515,0.0179735429447825
516,-0.0479524311882585
517,0.0335554383778445
518,-0.2639613036189485
519,0.2871657241445395
520,0.0407195381925353
521,0.1458981104998836
522,0.1480703095147125
523,-0.2778043873934344
524,0.2341472738567444
525,0.3756086250869475
526,0.0254977863285537
527,-0.568804345292211
528,0.1954351922942637
529,-0.1654625961314331
530,-0.0349691106189612
531,0.2812906825367389
532,-0.1513352424856311
533,0.1394991978796174
534,0.0395091568281024
535,-0.1233275159976667
536,0.0162858871155351
537,-0.0465527675620289
538,-0.0419150521609553
539,0.055855520387267
540,0.0930059523809471
541,-0.1117318435754099
542,-0.5429694813705416
543,-0.2839908935151453
544,0.0187727326058862
545,0.3391019644527702
546,0.028055737398299
547,0.0654205607476571
548,-0.2576715858514928
549,-0.2630466438066617
550,-0.3126604134584049
551,-0.1635972702626878
552,0.2052430264017155
553,0.418060200668899
554,-0.2187980075415478
555,-0.1748781682094807
556,-0.2876251052287013
557,-0.1264340903769523
558,0.2662058658696026
559,0.0746686578308739
560,-0.0186706497386071
561,-0.0943290003041623
562,0.2571881261941458
563,-0.1493442852475816
564,0.1584269139369103
565,0.1906799367500681
566,-0.0069765819399617
567,-0.2447780678851201
568,0.0698877137399271
569,0.1256398324802281
570,0.1718771774980278
571,-0.2094777022623671
572,0.2831546209905833
573,0.1760808118252145
574,0.1388181944380229
575,-0.3988416007648763
576,-1.7535025662366408
577,0.3065434346693673
578,0.5888552836586916
579,-0.3310344827586202
580,0.1285701166314634
581,-0.4311835642970796
582,0.0731784420365051
583,0.2235505080693349
584,-0.1565737969145767
585,0.1792773742759889
586,-0.0275887437925336
587,0.128581925055107
588,0.0940517973069128
589,0.1580321561082858
590,0.1486495757769747
591,0.1438684631194326
592,0.3005327626246641
593,-0.0296066865562987
594,-0.2076772102788735
595,-0.1416948532772659
596,-0.0823421774931412
597,0.2964652223489193
598,-0.3248833165553253
599,-0.1558203483043095
600,0.371804802478698
601,-0.8331163759437616
602,0.6209573091849876
603,0.7396373722327791
604,0.0462059759728942
605,-0.2057824879102817
606,0.1797360447799488
607,0.0923503155302482
608,-0.9582513208328988
609,-0.2180232558139617
610,0.2846938247321349
611,0.1447252804052313
612,0.0754586008085019
613,-0.3036315598611551
614,-0.0414615185281225
615,-0.010366454154347
616,0.2971499444458741
617,0.0800371785603641
618,-0.0464948080797661
619,-0.2823468462634309
620,-0.3717955384535403
621,-0.1458105504348285
622,-0.0781738586616665
623,0.2391598211500509
624,0.2696256351757804
625,0.2383971595232051
626,0.1873228027541537
627,-0.2639084954779246
628,-0.1067635550586977
629,0.4703621282621923
630,-0.0683250246729209
631,-0.0785088385756982
632,0.0101291466193881
633,0.0
634,0.0936069016115578
635,-0.0987641815234973
636,-0.0456042563972654
637,0.0101332522673203
638,-0.1268262987012987
639,-0.2491990032039918
640,-0.081437369572961
641,-0.3268140734310301
642,0.0204217082758932
643,-0.2148887183422951
644,0.2297090352220607
645,-0.0306372549019619
