,ENPH.US
296,0.0679255535932617
297,-0.1496598639455813
298,0.0435184681499279
299,-0.4919914721478192
300,0.2159285959491901
301,0.0114416475972598
302,-0.2581015199311827
303,-0.7221259387637204
304,-0.8271202236719405
305,0.3135524329346139
306,-0.5976159615039756
307,0.2757030631990845
308,0.3713075271313377
309,-0.2910191490600081
310,0.0581699726601095
311,0.4977716038664199
312,-0.1449107349872478
313,-0.1239652154534096
314,-0.0153238913396768
315,0.011607661056303
316,-0.1230764224391973
317,0.143209446717154
318,0.176668211306753
319,-0.0199877755923073
320,0.1530051483773923
321,0.3114007266016908
322,0.1727016291520415
323,-0.1845550493108147
324,0.1957059805445251
325,1.2378350691480304
326,1.247681672567867
327,-0.0506072874493946
328,-0.6280767272110076
329,0.1356162061366424
330,-0.1915001125222483
331,-0.5074257425742544
332,-0.0426949022286714
333,0.7121661721068278
334,0.2368265245707528
335,-0.5100739607243123
336,-0.2215216835647873
337,-0.2277476381963618
338,-0.1225205198358504
339,0.4087193460490497
340,-0.3938303614400178
341,0.07747501494832
342,0.8301567132570977
343,0.3923553980508825
344,0.4075630252100835
345,0.5099908034445276
346,0.0083598060525038
347,0.0877009814157358
348,-0.1547599129998227
349,0.1461805120494484
350,1.73451157188164
351,1.9039270875217789
352,0.5226527292605476
353,0.5014592730167117
354,1.0085622734674664
355,0.7455683003128294
356,-0.5030391951372919
357,-1.6701739431554783
358,1.0540598382959545
359,-0.2693517270541008
360,-0.362470870508304
361,-0.1283794550379668
362,0.1193665614472502
363,0.277748386414139
364,0.8263595582255508
365,-0.236661495174729
366,0.1417955518210129
367,-0.0788374109794264
368,-0.2344326203771959
369,0.3464930701385955
370,-0.1338412220449961
371,-0.0133543638275599
372,0.0
373,-0.1790793216053802
374,-0.5348159915276777
375,1.3176052752368346
376,-2.536584111308284
377,1.1365369946605717
378,-1.3033175355450244
379,0.0694962806620117
380,-0.4420889348500463
381,-0.3216101255316965
382,1.0725098783804603
383,-0.2572413438287801
384,-0.8247743541861207
385,-0.3722698044932723
386,0.0338312600843167
387,0.4502614003181363
388,-0.4836778257926808
389,-0.2767046047822915
390,0.0313152400835084
391,-0.3580099153294664
392,-0.6836827952310992
393,0.5314394344741525
394,0.1476049550847257
395,-0.0760077580332242
396,-0.0052421891381942
397,-0.0891967049687745
398,0.5854084479712547
399,0.4453964792023649
400,-0.4803516722410964
401,-0.6186800235710124
402,0.0998412900248206
403,-0.2085938790438661
404,-0.4182216693323788
405,-0.5899177690382608
406,0.4567293433774305
407,0.0948148148148128
408,-0.4492985513871758
409,-0.4142204944107203
410,0.6194422168760579
411,0.4494249135152662
412,-0.4484704484704458
413,-0.3516928946113516
414,0.4214400189944844
415,0.1185747317246627
416,0.1834536631554043
417,-0.183790834173239
418,0.0118560673424685
419,0.0118546618457769
420,-0.1008662632016233
421,0.319375443577017
422,0.0118273211117574
423,0.0443327914881141
424,-0.2577930544032252
425,-1.2769864233251655
426,0.9425122636829676
427,-0.1379843249806822
428,-0.0055196776508358
429,-0.6108735491753176
430,-0.4630662798482393
431,-0.8098987626546669
432,0.9912016928388468
433,0.5868024800708448
434,-0.044306601683642
435,-0.1442041042706549
436,0.1439964554718602
437,-0.0166177366642669
438,-0.0554231557944877
439,0.3809628975265005
440,0.0193204714195007
441,-0.3227517857123033
442,0.576918841537273
443,-0.0055063047188981
444,0.0990153473788318
445,-0.1763376866699692
446,0.0550751776174446
447,0.1731863540148982
448,0.3042096031572061
449,0.3713411970292741
450,1.322314049586785
451,0.1460039357582617
452,0.3006233979937308
453,-0.0042405519553027
454,-0.1891566265060315
455,0.2341366267244772
456,0.2208685771998428
457,-1.1743427691191486
458,0.7157440872487555
459,0.3538257408226463
460,0.5654331846453334
461,0.1756036375039204
462,0.3125976867771178
463,1.1005997650405004
464,-0.0123678189351195
465,-0.2728343771315171
466,0.1053022794846305
467,0.3825743551770977
468,1.035082898232111
469,0.2952995616171539
470,-0.0304525245142891
471,-0.0914411119239244
472,-0.6998158379373765
473,-0.0675717181645148
474,-0.3885051800690648
475,-1.7526283240568974
476,0.1864174516364124
477,0.1097545936613622
478,-1.043581196847457
479,1.5306748466257696
480,-0.947544435498855
481,-0.4854066836766452
482,-0.6829573934837114
483,0.0
484,-0.942381886028702
485,0.4470469714141667
486,0.2825390845733767
487,0.1160201937850818
488,0.2676957525190278
489,-0.9107548598838752
490,-0.5649000317359482
491,-0.1907790143084333
492,0.0889510134061797
493,-0.3762755102040657
494,-0.9073942982174048
495,-0.2322131200412727
496,0.5038025864005369
497,-0.1703632272581076
498,-0.3483646216373269
499,0.6091305462939324
500,0.2071953286871429
501,0.3815361521140763
502,0.5783222436415688
503,0.4734643354479259
504,-0.6321624314897772
505,-0.4504504504504497
506,0.1312089971883836
507,-0.5844645550527946
508,0.2570049520466348
509,-0.3522677234698385
510,0.1256518188100701
511,-0.2835181451612831
512,-0.0693524998423713
513,0.107066381156309
514,0.2638190954773791
515,0.3533949322941458
516,-0.3451936061300745
517,-0.6348500037292091
518,-0.3269602714100043
519,0.1171776032429707
520,0.1707239962061398
521,-0.2154489576072513
522,-0.082445459157785
523,-0.0507614213198048
524,-0.2480758221487096
525,-0.1434226378291549
526,0.918004831604382
527,-0.0881834215167555
528,0.0682244584683473
529,0.6761072081397212
530,-0.2929716259840323
531,0.0283093647378617
532,0.192133815551539
533,-0.1981767736821212
534,0.2175202689341455
535,-0.3316138540899087
536,-0.1532871579425515
537,-0.3703914752977247
538,-0.0598682897625328
539,0.1963239059921463
540,-0.0654841556814512
541,0.0199259891830325
542,0.289509536784736
543,-0.1933795927653301
544,-0.0398293029871938
545,-0.0227647828808787
546,-0.1710278775440461
547,0.2218430034129776
548,-0.3606819045922709
549,-0.1247213489568587
550,0.2148458481039884
