,ALGN.US
562,-0.0514618572797511
563,0.2489543567806089
564,0.1703456034988266
565,-0.7053379079230947
566,0.1354581673306809
567,-0.5318978499791807
568,0.1879411592098294
569,0.4020991272217523
570,-0.1467398239122047
571,-0.0925955490277532
572,0.0143662106725033
573,-0.0207555002075542
574,0.1116356213319615
575,0.2038876889848725
576,0.1035643393458225
577,0.0034520254759448
578,0.362867166540554
579,-0.2275234418091647
580,-0.0931644870777343
581,0.0241479232785956
582,0.0172455420273898
583,-0.0768361457111554
584,-0.1442842822081601
585,-0.0207447360232348
586,-0.1853166836973363
587,0.0968941949995776
588,-0.1837438679817745
589,0.872045569750766
590,0.4916044573550915
591,-0.1455675610883744
592,0.0958001881789317
593,-0.2005553841406903
594,-0.0171444246331132
595,0.148934349054182
596,0.0821032105776334
597,-0.0804574089290652
598,-0.0839515479637482
599,-0.1785009354135495
600,-0.3816111144237107
601,0.2913198573127283
602,-0.0456014433848203
603,-0.3991121992973227
604,-0.50516165172856
605,0.2554278416347441
606,0.3539471067806666
607,0.073519184533154
608,0.7572321587032461
609,-0.0216962524654859
610,0.7322708227278085
611,-0.0901465861879823
612,0.0783269366335149
613,0.3473441829606271
614,-0.5217732444095773
615,0.2289762608372342
616,-0.1901960784313779
617,-0.5342112006938791
618,-0.202463136894716
619,0.8256934649741482
620,0.3863716192483351
621,0.3131869200692538
622,0.1960860448862295
623,0.4291513628455275
624,-0.0812567713976085
625,0.1342537910189296
626,0.3115515413025188
627,0.016818028927011
628,0.910052603359092
629,-0.3329553054755994
630,-0.1018804214938481
631,-0.1705763146768632
632,0.3008808395592968
633,0.2059762111981374
634,0.1390578828437389
635,0.1753250743775927
636,-0.2540517816241832
637,-0.225202318857435
638,0.1653587850480826
639,0.0145030528926371
640,-0.1023511734090259
641,0.1323005433383991
642,-0.3531987952683742
643,-0.023285258975735
644,-0.0567900515478909
645,0.2208467730218204
646,-0.0436071864643227
647,0.0058139534883668
648,-0.1470181516470386
