,PEP.US
279,0.235687675815405
280,0.1745598057073389
281,-0.0911577028258922
282,-0.0303951367781094
283,-0.1547223027671048
284,-0.1804666056724712
285,0.0824266654071669
286,0.0866176492974666
287,0.0136986301369868
288,0.0699662336872087
289,0.2034001214329088
290,-0.0165479716589301
291,0.0847933257489481
292,0.0075838010010763
293,-0.0303444090426494
294,-0.0797175720305126
295,0.117540001516646
296,-0.0075838010010548
297,0.2141619306357408
298,0.0733514821536663
299,-0.189408288506705
300,-0.1342625151844562
301,-0.0959938563931944
302,-0.1345722524831653
303,-0.1733213506226795
304,0.0609462710505205
305,-0.103908981383723
306,0.1198203976908307
307,0.0192394022959027
308,-0.0020522450278085
309,-0.0428589760040884
310,-0.0899049576162437
311,0.0898242012062201
312,-0.0256706456167503
313,0.1665812403895561
314,-0.1540041067761865
315,-0.0192542198831917
316,-0.154271389085305
317,-0.057885258554157
318,0.0353618156685034
319,0.0096432015429217
320,0.1091703056768478
321,-0.0706895443737453
322,0.0128509927391774
323,0.0706305380762897
324,-0.0064213703204387
325,-0.3538320005661312
326,-0.870868727246769
327,0.0
328,0.1249062490197066
329,-0.0179691956645635
330,-0.2959388154723572
331,-0.3849522578792505
332,-0.4326195111399483
333,0.0288329849347596
334,0.0857046143652455
335,0.1804457225018007
336,-0.050348845572893
337,-0.2957726157841556
338,0.0072134458630822
339,0.1476572910289282
340,-0.1984699769053158
341,0.1513295380846061
342,0.0144102601051817
343,-0.3543022415039628
344,0.2308469196364111
345,-0.456554822813244
346,0.2890382253052802
347,-0.2499185048353789
348,-0.2287083424090595
349,0.2462519012095338
350,-0.2439024390243873
351,-0.0577997559565881
352,0.1794986858131938
353,-0.0513116541594589
354,-0.1670414391262389
355,0.128328521013788
356,-0.0256722931775829
357,-0.134961439588694
358,0.0385455479892087
359,0.0128468653648575
360,-0.0707077199974375
361,0.1316000641951613
362,0.0288794763188213
363,0.0705444750849827
364,-0.0192431045542021
365,-0.0513412912334825
366,0.2049442807736603
367,0.1981463726430184
368,0.1404225442011865
369,-0.0830458668710843
370,-0.03834355828221
371,0.1053337163650422
